,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty,description
0,1,Ice Storm,2002-01-29,,,Kansas City,,1,
1,0,Ice Storm,2002-01-30,6:00:00,Oklahoma,,,,FAILED
2,2,Ice Storm,2002-01-30,16:00:00,Missouri,,,,FAILED
3,3,Severe Weather,2002-03-09,0:00:00,Michigan,,,1,FAILED
4,4,Fire,2002-07-20,12:40:00,New York,,,,FAILED
5,5,Severe Weather,2002-08-28,14:09:00,Florida,,,,FAILED
6,6,Hurricane Lily,2002-10-03,3:33:00,Louisiana,,,1,FAILED
7,7,Winter Storm,2002-11-06,22:00:00,California,,,1,FAILED
8,8,Ice Storm,2002-11-17,6:00:00,Connecticut,,,1,FAILED
9,9,Ice Storm,2002-12-03,18:30:00,Arkansas,,,,FAILED
10,10,Winter Storm,2002-12-11,13:09:00,Virginia,Fredericksburg,,1,FAILED
11,11,Winter Storm,2002-12-14,11:00:00,California,,,,FAILED
12,12,Winter Storm,2002-12-19,6:00:00,California,,,,FAILED
13,14,Winter Storm,2002-12-25,10:00:00,Pennsylvania,"Reading, York, Hanover, Hamburg",,,FAILED
14,13,Winter Storm,2002-12-25,17:00:00,Pennsylvania,,,,FAILED
15,15,Winter Ice Storm,2003-02-27,,North Carolina,Piedmont,,1,FAILED
16,16,Ice Storm,2003-04-03,,Michigan,,,1,FAILED
17,17,Severe Storm ,2003-04-04,,New York,,,,FAILED
18,18,Severe Thunderstorms,2003-05-02,,North Carolina,Piedmont,,1,FAILED
19,19,Severe Thunderstorms,2003-05-02,,Georgia,,,,FAILED
20,20,Flood,2003-05-15,,MichigaDIRTY,,,1,FAILED
21,21,Severe Thunderstorms,2003-07-04,,Wisconsin,,,1,FAILED
22,22,Severe Thunderstorms,2003-07-04,,Michigan,,,1,FAILED
23,23,Severe Storms,2003-07-04,,"Indiana, Ohio",,,1,FAILED
24,24,Severe Storms,2003-07-05,,Illinois,,,1,FAILED
25,25,Severe Thunderstorms,2003-07-07,,Illinois,,,1,FAILED
26,26,Severe Thunderstorms,2003-07-08,,Ohio,,,,FAILED
27,27,Severe Thunderstorms,2003-07-09,,Virginia,,,1,FAILED
28,1273,Hurricane Claudette,2003-07-15,,Texas,,TRUE,,FAILED
29,28,Severe Storms,2003-07-21,,Pennsylvania,,,,FAILED
30,29,Severe Thunderstorms,2003-08-26,,Maryland,,"Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",,FAILED
31,30,Severe Thunderstorms,2003-08-26,,Maryland,,"Washington, D.C.,  Montgomery County,  Prince Georges County,",,FAILED
32,31,Hurricane Isabel,2003-09-18,,"North Carolina, Virginia",,,1,FAILED
33,32,Hurricane Isabel,2003-09-18,,North Carolina,,,1,FAILED
34,33,Hurricane Isabel,2003-09-18,,Maryland,,"Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County",,FAILED
35,34,Hurricane Isabel,2003-09-18,,"Pennsylvania, Maryland, Virginia",,,,FAILED
36,35,Hurricane Isabel,2003-09-18,,North Carolina,,"Triangle, Tridad ",,FAILED
37,36,Hurricane Isabel,2003-09-18,,Maryland,,"Montgomery County, Prince George's County ",,FAILED
38,37,Hurricane Isabel,2003-09-18,,All PPL includingDIRTY,,"Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",1,FAILED
39,38,Wild Fire,2003-10-26,,California,,San Diego County,,FAILED
40,39,Tornado,2003-11-05,,"Maryland, Virginia",,,1,FAILED
41,41,High Winds,2003-11-12,,Illinois,,,1,FAILED
42,1274,Storm with High Winds,2003-11-12,,Michigan,,TRUE,,FAILED
43,40,Wind Storm,2003-11-12,,Michigan,,,1,FAILED
44,42,High Winds,2003-11-13,,Maryland,,"Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County, Howard County",,FAILED
45,43,Wind Storm,2003-11-13,,Virginia,Richmond,,,FAILED
46,1275,Storm with High Winds,2003-11-13,,New York,,TRUE,,FAILED
47,1276,Major Wind Storm,2003-11-13,,Washington,,TRUE,,FAILED
48,44,High Winds,2003-12-04,,Eastern portions of King County and Pierce CountyDIRTY,,,1,FAILED
49,45,Earthquake,2003-12-22,,California,,,1,FAILED
50,46,Winter Storm,2003-12-28,,California,,,1,FAILED
51,47,Winter Storm,2004-01-01,,California,,,1,FAILED
52,48,Snow Storm,2004-01-07,,King CountyDIRTY,,,1,FAILED
53,51,Ice Storm,2004-01-26,,"North Carolina, South Carolina",,,1,FAILED
54,49,Ice Storm,2004-01-26,,South Carolina,,,1,FAILED
55,50,Ice Storm,2004-01-26,,Georgia,,,,FAILED
56,52,Ice Storm,2004-01-28,,Maryland,,Harford County,,FAILED
57,53,Ice Storm,2004-02-05,,"Pennsylvania, Maryland, Virginia",,,,FAILED
58,1277,Lightning struck Intertie Breaker ,2004-02-17,,California,,TRUE,,FAILED
59,54,Winter Storm,2004-02-25,,California,,,1,FAILED
60,55,Severe Storm,2004-02-26,,Georgia,,,,FAILED
61,1278,High Winds - Severe Storm,2004-03-04,,Texas,,TRUE,,FAILED
62,56,Severe Storm,2004-03-07,,"North Carolina, South Carolina",,,,FAILED
63,57,Thunderstorms,2004-04-10,,Texas,Houston,,,FAILED
64,1279,Storm with High Winds,2004-04-12,,Florida,,TRUE,,FAILED
65,58,Strong Winds,2004-04-27,,Washington,,Snohomish County ,,FAILED
66,59,Heat Storm,2004-05-03,,California,,,1,FAILED
67,1280,Strong Thunderstorms,2004-05-11,,Texas,,TRUE,,FAILED
68,62,Severe Thunderstorms,2004-05-21,,Michigan,,"Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers",,FAILED
69,63,Severe Thunderstorms,2004-05-21,,MichigaDIRTY,"Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",,,FAILED
70,64,Severe Thunderstorms,2004-05-21,,Michigan,,,1,FAILED
71,1281,High Winds and Heavy Rains,2004-05-21,,"West Virginia, Pennsylvania, Maryland, Virginia",,TRUE,,FAILED
72,61,Severe Thunderstorms,2004-05-21,,Ohio,Cleveland,,,FAILED
73,60,Severe Thunderstorms,2004-05-21,,Ohio,"Akron, Youngstown",,,FAILED
74,1282,Severe Storms with Strong Winds,2004-06-01,,Texas,,TRUE,,FAILED
75,1284,Severe Thunderstorms with Strong Winds,2004-06-02,,Oklahoma,,TRUE,,FAILED
76,1283,Severe  Thunderstorms with Strong Winds,2004-06-02,,Louisiana,,TRUE,,FAILED
77,65,Tornado,2004-06-12,,Nebraska,Lincoln,,,FAILED
78,66,Thunderstorms,2004-06-23,,"Alabama, Georgia",,,,FAILED
79,67,Severe Thunderstorms,2004-07-07,,Virginia,,,1,FAILED
80,68,Severe Thunderstorms,2004-07-13,,Indiana,,,1,FAILED
81,69,Wildfire,2004-07-20,,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and MayaguezDIRTY",,,1,FAILED
82,70,Severe Thunderstorms,2004-07-21,,Illinois,Chicago,,,FAILED
83,71,Severe Storms,2004-07-25,,"Alabama, Georgia",,,,FAILED
84,72,Severe Storm,2004-08-03,,Illinois,,,1,FAILED
85,1289,Hurricane Charley,2004-08-13,,Florida,,TRUE,,FAILED
86,1288,Hurricane Charley,2004-08-13,,Florida,,TRUE,,FAILED
87,1287,Hurricane Charley,2004-08-13,,Florida,,TRUE,,FAILED
88,1286,Hurricane Charley,2004-08-13,,Florida,,TRUE,,FAILED
89,1285,Hurricane Charley,2004-08-13,,Florida,,TRUE,,FAILED
90,1290,Hurricane Charley,2004-08-14,,"North Carolina, South Carolina",,TRUE,,FAILED
91,1291,Tropical Storm Gaston,2004-08-29,,South Carolina,,TRUE,,FAILED
92,1292,Tropical Storm Gaston,2004-08-30,,"North Carolina, Virginia",,TRUE,,FAILED
93,1293,Hurricane Frances,2004-09-03,,Florida,,TRUE,,FAILED
94,1294,Hurricane Frances,2004-09-04,,Florida,,TRUE,,FAILED
95,1295,Hurricane Frances,2004-09-04,,Florida,,TRUE,,FAILED
96,1296,Hurricane Frances,2004-09-05,,Florida,,TRUE,,FAILED
97,1297,Hurricane Frances,2004-09-05,,Florida,,TRUE,,FAILED
98,1298,Hurricane Frances,2004-09-06,,"Alabama, Georgia, Mississippi, Florida",,TRUE,,FAILED
99,1299,Hurricane Frances,2004-09-07,,Georgia,,TRUE,,FAILED
100,73,Hurricane Jeanne,2004-09-15,,Puerto RicoDIRTY,,,1,FAILED
101,74,Hurricane Ivan,2004-09-15,,"Alabama, Georgia, Mississippi, Florida",,,,FAILED
102,75,Hurricane Ivan,2004-09-16,,Alabama,,"Baldwin County, Alabama, Escambia County, Florida, Washington County",,FAILED
103,76,Hurricane Ivan,2004-09-16,,South Carolina,,,1,FAILED
104,77,Hurricane Ivan,2004-09-17,,North Carolina,,,1,FAILED
105,78,Hurricane Jeanne,2004-09-25,,Florida,Fort Pierce,,,FAILED
106,80,Hurricane Jeanne,2004-09-26,,Florida,"Orlando, St. Cloud, ",,,FAILED
107,81,Hurricane Jeanne,2004-09-26,,Florida,,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",,FAILED
108,79,Hurricane Jeanne,2004-09-26,,Florida,,"Hillsborough, Pasco, Polk County",,FAILED
109,82,Hurricane Jeanne,2004-09-27,,Georgia,,,,FAILED
110,1300,Severe Storm with High Wind Gusts,2004-10-18,,California,,TRUE,,FAILED
111,1302,High Wind Gusts,2004-10-30,,Michigan,,TRUE,,FAILED
112,1301,Severe Storm with High Wind Gusts,2004-10-30,,Michigan,"Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",TRUE,,FAILED
113,1303,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",2004-11-14,,Nova ScotiaDIRTY,,TRUE,,FAILED
114,1304,Strong Thunderstorms,2004-11-23,,Texas,,TRUE,,FAILED
115,1305,Strong Thunderstorms,2004-11-24,,Georgia,,TRUE,,FAILED
116,83,High Winds,2004-12-01,,Maryland,Baltimore City,"Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County",,FAILED
117,1306,Heavy Rain and Wind Storm,2004-12-01,,"Pennsylvania, Delaware",,TRUE,,FAILED
118,1307,Major Freezing Rain and Ice Storm,2004-12-23,,Columbus DistrictDIRTY,,TRUE,,FAILED
119,1308,Severe Weather/Line Relayed,2004-12-27,,California,,TRUE,,FAILED
120,84,Winter Storm,2005-01-04,,Kansas,,,1,FAILED
121,85,Ice Storm,2005-01-05,,Ohio,"Akron, Mansfield",,,FAILED
122,86,Winter Ice Storm,2005-01-05,,"Michigan, Indiana",,,1,FAILED
123,87,Winter Storm,2005-01-07,,California,,,1,FAILED
124,89,Ice Storm,2005-01-29,,Georgia,,,,FAILED
125,88,Ice Storm,2005-01-29,,"Alabama, Georgia",,,1,FAILED
126,90,Wind Storms,2005-03-08,,North Carolina,,,1,FAILED
127,91,Winter Storm,2005-04-01,,Ohio,"Cleveland,",,,FAILED
128,92,Winter Storm,2005-04-23,,Ohio,"Cleveland,",,,FAILED
129,93,Thunderstorms,2005-04-30,,"Alabama, Georgia",,,,FAILED
130,1309,Strong Thunderstorms,2005-05-08,,Texas,,TRUE,,FAILED
131,1310,Strong Thunderstorms,2005-05-29,,Texas,,TRUE,,FAILED
132,1312,Strong Thunderstorm,2005-06-05,,Michigan,,TRUE,,FAILED
133,1311,Strong Thunderstorm/High Winds,2005-06-05,,Michigan,,TRUE,,FAILED
134,1314,Strong Thunderstorm,2005-06-06,,"Pennsylvania, Delaware",,TRUE,,FAILED
135,1313,Strong Thunderstorms,2005-06-06,,New York,,TRUE,,FAILED
136,1315,Strong Thunderstorm,2005-06-08,,Minnesota,,TRUE,,FAILED
137,1316,Strong Thunderstorm/High Winds,2005-06-29,,Michigan,,TRUE,,FAILED
138,1317,Tropical Storm Cindy,2005-07-05,,Louisiana,,TRUE,,FAILED
