,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
0,Ice Storm,2002-01-30,6:00:00,Oklahoma,,,
1,Ice Storm,2002-01-29,,,Kansas City,,1
2,Ice Storm,2002-01-30,16:00:00,Missouri,,,
3,Severe Weather,2002-03-09,0:00:00,Michigan,,,1
4,Fire,2002-07-20,12:40:00,New York,,,
5,Severe Weather,2002-08-28,14:09:00,Florida,,,
6,Hurricane Lily,2002-10-03,3:33:00,Louisiana,,,1
7,Winter Storm,2002-11-06,22:00:00,California,,,1
8,Ice Storm,2002-11-17,6:00:00,Connecticut,,,1
9,Ice Storm,2002-12-03,18:30:00,Arkansas,,,
10,Winter Storm,2002-12-11,13:09:00,Virginia,Fredericksburg,,1
11,Winter Storm,2002-12-14,11:00:00,California,,,
12,Winter Storm,2002-12-19,6:00:00,California,,,
13,Winter Storm,2002-12-25,17:00:00,Pennsylvania,,,
14,Winter Storm,2002-12-25,10:00:00,Pennsylvania,"Reading, York, Hanover, Hamburg",,
15,Winter Ice Storm,2003-02-27,,North Carolina,Piedmont,,1
16,Ice Storm,2003-04-03,,Michigan,,,1
17,Severe Storm ,2003-04-04,,New York,,,
18,Severe Thunderstorms,2003-05-02,,North Carolina,Piedmont,,1
19,Severe Thunderstorms,2003-05-02,,Georgia,,,
20,Flood,2003-05-15,,MichigaDIRTY,,,1
21,Severe Thunderstorms,2003-07-04,,Wisconsin,,,1
22,Severe Thunderstorms,2003-07-04,,Michigan,,,1
23,Severe Storms,2003-07-04,,"Indiana, Ohio",,,1
24,Severe Storms,2003-07-05,,Illinois,,,1
25,Severe Thunderstorms,2003-07-07,,Illinois,,,1
26,Severe Thunderstorms,2003-07-08,,Ohio,,,
27,Severe Thunderstorms,2003-07-09,,Virginia,,,1
28,Severe Storms,2003-07-21,,Pennsylvania,,,
29,Severe Thunderstorms,2003-08-26,,Maryland,,"Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",
30,Severe Thunderstorms,2003-08-26,,Maryland,,"Washington, D.C.,  Montgomery County,  Prince Georges County,",
31,Hurricane Isabel,2003-09-18,,"North Carolina, Virginia",,,1
32,Hurricane Isabel,2003-09-18,,North Carolina,,,1
