Date,Time,Area Affected,Event Type
2002-01-30 00:00:00,06:00:00,Oklahoma,Ice Storm
2002-01-29 00:00:00,Evening,Metropolitan Kansas City Area,Ice Storm
2002-01-30 00:00:00,16:00:00,Missouri,Ice Storm
2002-02-27 00:00:00,10:48:00,California,Interruption of Firm Load
2002-03-09 00:00:00,00:00:00,Lower Peninsula of Michigan,Severe Weather
2002-04-08 00:00:00,15:00:00,Arizona,Vandalism/
2002-07-09 00:00:00,12:27:00,California,Interruption of Firm Power
2002-07-19 00:00:00,11:51:00,California,Interruption of Firm Power (Unit Tripped)
2002-07-20 00:00:00,12:40:00,New York,Fire
2002-08-02 00:00:00,12:43:00,Illinois,Interruption of Firm Power
2002-08-09 00:00:00,08:23:00,Florida,Interruption of Firm Power
2002-08-25 00:00:00,03:41:00,California,Interruption of Firm Power
2002-08-28 00:00:00,14:09:00,Florida,Severe Weather
2002-10-03 00:00:00,03:33:00,Coastal Areas of Southern Louisiana,Hurricane Lily
2002-11-06 00:00:00,22:00:00,Northern and Central California,Winter Storm
2002-11-17 00:00:00,15:48:00,"Northport, NY",Cable Tripped
2002-11-17 00:00:00,06:00:00,Northwest and North Central Connecticut,Ice Storm
2002-12-03 00:00:00,18:30:00,Arkansas,Ice Storm
2002-12-11 00:00:00,13:09:00,Northern Virginia to Fredericksburg,Winter Storm
2002-12-14 00:00:00,11:00:00,Northern and Central California,Winter Storm
2002-12-19 00:00:00,06:00:00,Northern and Central California,Winter Storm
2002-12-25 00:00:00,17:00:00,Eastern Pennsylvania,Winter Storm
2002-12-25 00:00:00,10:00:00,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm
2003-01-25 00:00:00,2:00 p.m.,"Cincinnati, Ohio",Cyber Threat From Internet 
2003-02-27 00:00:00,11:32 a.m.,"Piedmont, North Carolina",Winter Ice Storm
2003-04-03 00:00:00,7:00 p.m.,Lower Michigan Peninsula ,Ice Storm
2003-04-04 00:00:00,3:11 a.m.,"New York, ",Severe Storm 
2003-04-15 00:00:00,11:00 a.m.,"Cities of Bryan,",Relaying Malfunction
2003-04-28 00:00:00,3:41 p.m.,"County of Waukesha,  Wisconsin, ",Vandalism
2003-05-02 00:00:00,5:00 p.m.,"Piedmont, North and",Severe Thunderstorms
2003-05-02 00:00:00,8:00 p.m.,"Central Georgia,",Severe Thunderstorms
2003-05-15 00:00:00,2:52 a.m.,North Texas,Interruption of Firm 
2003-05-15 00:00:00,2:00 p.m.,Upper Michigan Peninsula,Flood
2003-06-15 00:00:00,3:12 p.m.,Idaho,Public Appeal 
2003-06-30 00:00:00,1:00 p.m.,Coastal areas of,Tropical Storm Bill
2003-07-01 00:00:00,3:15 p.m.,"Phoenix, Arizona",Breaker Failure
2003-07-02 00:00:00,1:54 p.m.,Northern California,Unit Tripped
2003-07-04 00:00:00,6:00 a.m.,Southeast Wisconsin,Severe Thunderstorms
2003-07-04 00:00:00,9:00 a.m.,Lower Michigan Peninsula,Severe Thunderstorms
2003-07-04 00:00:00,11:41 p.m.,"Southwest Ohio, portions of Indiana",Severe Storms
2003-07-05 00:00:00,3:00 a.m.,Northern Illinois,Severe Storms
2003-07-07 00:00:00,9:00 a.m.,Northern Illinois,Severe Thunderstorms
2003-07-08 00:00:00,4:00 a.m.,Ohio,Severe Thunderstorms
2003-07-09 00:00:00,5:14 p.m.,Northern Central and Eastern Virginia,Severe Thunderstorms
2003-07-15 00:00:00,8:24 a.m.,Texas,Hurricane Claudette
2003-07-21 00:00:00,5:15 p.m.,Pennsylvania,Severe Storms
2003-07-28 00:00:00,6:55 p.m.,Arizona,Breaker Closed
2003-08-14 00:00:00,Approximately 3:00 p.m.,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *
2003-08-14 00:00:00,4:09 p.m.,Southeastern Michigan including all of Detroit,Unknown *
2003-08-14 00:00:00,4:09 p.m.,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",Unknown *
2003-08-14 00:00:00,4:10 p.m.,"Northeast, Ohio",Unknown *
2003-08-14 00:00:00,4:10 p.m.,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *
2003-08-14 00:00:00,4:10 p.m.,New York State,Unknown *
2003-08-14 00:00:00,4:10 p.m.,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Unknown *
2003-08-14 00:00:00,4:10 p.m.,"Northern New Jersey Erie, Pennsylvania  area",Unknown *
2003-08-14 00:00:00,4:11 p.m.,Entire Con Edison System (five boroughs of NYC and Westchester County),Unknown *
2003-08-26 00:00:00,4:00 p.m.,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",Severe Thunderstorms
2003-08-26 00:00:00,4:22 p.m.,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Severe Thunderstorms
2003-09-07 00:00:00,5:19 a.m.,Upper Michigan Peninsula,Transmission  Equipment
2003-09-18 00:00:00,8:20 a.m.,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Hurricane Isabel
2003-09-18 00:00:00,11:45 a.m.,Eastern North Carolina,Hurricane Isabel
2003-09-18 00:00:00,12:00 noon,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Hurricane Isabel
2003-09-18 00:00:00,2:00 p.m.,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel
2003-09-18 00:00:00,3:32 p.m.,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,Hurricane Isabel
2003-09-18 00:00:00,4:20 p.m.,"District of Columbia, Montgomery and Prince George's Counties, Maryland",Hurricane Isabel
2003-09-18 00:00:00,9:00 p.m.,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",Hurricane Isabel
2003-10-26 00:00:00,1:44 a.m.,"San Diego County, California",Wild Fire
2003-11-05 00:00:00,3:16 p.m.,Maryland/Virginia border,Tornado
2003-11-12 00:00:00,5:00 p.m.,Lower Michigan Peninsula,Wind Storm
2003-11-12 00:00:00,5:00 p.m.,Northern Illinois,High Winds
2003-11-12 00:00:00,6:00 p.m.,Southeastern Michigan,Storm with High Winds
2003-11-13 00:00:00,6:00 a.m.,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds
2003-11-13 00:00:00,7:30 a.m.,New York,Storm with High Winds
2003-11-13 00:00:00,11:00 a.m.,"Washington, D.C., Montgomery County, Prince Georges County, Md",Major Wind Storm
2003-11-13 00:00:00,1:40 p.m.,"Northern Virginia, Richmond area, Eastern Virginia",Wind Storm
2003-12-01 00:00:00,6:16 p.m.,Cape Cod and part of SE Massachusetts,Wild Fire – Transmission Equipment
2003-12-04 00:00:00,7:00 a.m.,Eastern portions of King County and Pierce County,High Winds
2003-12-04 00:00:00,10:34 p.m.,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Fault on 138 KV line
2003-12-04 00:00:00,10:15 p.m.,Upper Peninsula of Michigan and Northeastern Wisconsin,Fault on 138 KV line
2003-12-05 00:00:00,4:49 a.m.,State of Florida - Dade County,Transmission Equipment
2003-12-05 00:00:00,7:00 a.m.,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Transmission Equipment
2003-12-20 00:00:00,3:51 p.m.,"San Francisco, California",Cable Failure
2003-12-22 00:00:00,11:15 a.m.,Central California Coast,Earthquake
2003-12-28 00:00:00,9:00 p.m.,Northern California,Winter Storm
2004-01-01 00:00:00,7:30 a.m.,Northern California,Winter Storm
2004-01-07 00:00:00,Midnight,King County,Snow Storm
2004-01-08 00:00:00,3:00 p.m.,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load
2004-01-14 00:00:00,6:00 a.m.,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load
2004-01-26 00:00:00,10:00 a.m.,Central South Carolina,Ice Storm
2004-01-26 00:00:00,2:00 p.m.,North and Central area of Georgia,Ice Storm
2004-01-26 00:00:00,4:00 p.m.,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm
2004-01-28 00:00:00,1:09 p.m. ,"Harford County, Maryland",Ice Storm
2004-02-05 00:00:00,8:00 p.m.,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm
2004-02-14 00:00:00,8:00 p.m.,"Lake Colby, Lake Placid, Tupper Lake",Public Appeal to Reduce Load
2004-02-17 00:00:00,2:25 p.m.,"San Francisco Bay area, California",Lightning struck Intertie Breaker 
2004-02-25 00:00:00,12:01 a.m.  ,Northern California,Winter Storm
2004-02-26 00:00:00,12:00 a.m.,Georgia,Severe Storm
2004-03-04 00:00:00,5:00 a.m.,North Texas,High Winds - Severe Storm
2004-03-07 00:00:00,6:30 p.m.,North and South Carolina,Severe Storm
2004-03-08 00:00:00,6:22 p.m.,Southern California not including LA,Inadequate Resources
