,0
0,"(0.9818153164603488, 'Ice Storm', [(0.9090909090909085, 'Ice Storm'), (0.09090909090909091, 'Winter Storm')])"
1,"(0.7783831219340477, 'Ice Storm', [(0.4883720930232556, 'Ice Storm'), (0.37209302325581384, 'Heavy Snow'), (0.13953488372093023, 'Winter Storm')])"
3,"(0, '', [])"
5,"(0.5611837918454026, 'Hurricane Lily', [(0.38297872340425515, 'Hurricane (typhoon)'), (0.3617021276595743, 'Tornado'), (0.14893617021276595, 'High Wind'), (0.10638297872340426, 'Flash Flood')])"
6,"(0, '', [])"
7,"(0, '', [])"
8,"(0.929400640375474, 'Ice Storm', [(0.6470588235294118, 'Ice Storm'), (0.35294117647058826, 'Winter Storm')])"
9,"(0.773898230149196, 'Winter Storm', [(0.7179487179487183, 'Ice Storm'), (0.28205128205128205, 'Winter Weather')])"
10,"(0.4675830555233088, 'Winter Storm', [(0.5909090909090907, 'High Wind'), (0.13636363636363638, 'Heavy Snow'), (0.09090909090909091, 'Winter Storm'), (0.09090909090909091, 'Flood'), (0.06818181818181818, 'Strong Wind'), (0.022727272727272728, 'Flash Flood')])"
11,"(0.5996036286707277, 'Winter Storm', [(0.25925925925925924, 'Winter Storm'), (0.2222222222222222, 'High Wind'), (0.14814814814814814, 'Heavy Snow'), (0.1111111111111111, 'Strong Wind'), (0.07407407407407407, 'Flood'), (0.07407407407407407, 'Flash Flood'), (0.037037037037037035, 'Thunderstorm Wind'), (0.037037037037037035, 'Storm Surge/tide'), (0.037037037037037035, 'Heavy Rain')])"
12,"(0.5050144880375965, 'Winter Storm', [(0.9787234042553196, 'Heavy Snow'), (0.02127659574468085, 'Winter Storm')])"
13,"(0.5050144880375965, 'Winter Storm', [(0.9787234042553196, 'Heavy Snow'), (0.02127659574468085, 'Winter Storm')])"
14,"(0.7784519668887643, 'Winter Ice Storm', [(0.5294117647058824, 'Winter Weather'), (0.35294117647058826, 'Winter Storm'), (0.08823529411764705, 'Ice Storm'), (0.029411764705882353, 'Flash Flood')])"
15,"(0.9333228270212808, 'Ice Storm', [(0.6666666666666666, 'Ice Storm'), (0.33333333333333326, 'Winter Storm')])"
16,"(0.6935664352142445, 'Severe Storm ', [(0.6666666666666662, 'Winter Storm'), (0.2727272727272726, 'Ice Storm'), (0.030303030303030304, 'Winter Weather'), (0.030303030303030304, 'Heavy Snow')])"
17,"(0.46067749473113045, 'Severe Thunderstorms', [(0.6455696202531644, 'Thunderstorm Wind'), (0.3291139240506331, 'Hail'), (0.012658227848101266, 'Lightning'), (0.012658227848101266, 'Flash Flood')])"
18,"(0.44420035980468614, 'Severe Thunderstorms', [(0.5465116279069774, 'Thunderstorm Wind'), (0.40116279069767485, 'Hail'), (0.03488372093023256, 'Lightning'), (0.01744186046511628, 'Heavy Rain')])"
19,"(0.5264853899543346, 'Severe Thunderstorms', [(0.9459459459459452, 'Thunderstorm Wind'), (0.05405405405405406, 'Hail')])"
20,"(0.5266275540987643, 'Severe Thunderstorms', [(0.9466666666666654, 'Thunderstorm Wind'), (0.02666666666666667, 'Hail'), (0.013333333333333334, 'Lightning'), (0.013333333333333334, 'Flash Flood')])"
21,"(0.4344347184119017, 'Severe Storms', [(0.6086956521739129, 'Thunderstorm Wind'), (0.24637681159420297, 'Hail'), (0.08695652173913043, 'Flash Flood'), (0.043478260869565216, 'Tornado'), (0.014492753623188406, 'Flood')])"
22,"(0.48219892452744834, 'Severe Storms', [(0.8823529411764697, 'Thunderstorm Wind'), (0.07058823529411765, 'Hail'), (0.03529411764705882, 'Flood'), (0.011764705882352941, 'Flash Flood')])"
