Event Type,Valid Date,Valid Time,State,Counties,Valid DateTime,State_FIPS,County_FIPS
Severe Weather,1/2/2022,13:21:00,California,Tuolumne County;,1/2/2022 13:21,6,6109
Severe Weather,1/3/2022,1:00:00,Georgia: Alabama: Mississippi:,,1/3/2022 1:00,"13, 01, 28",
Severe Weather,1/16/2022,5:15:00,Georgia: Alabama:,,1/16/2022 5:15,"13, 01",
Severe Weather,1/29/2022,8:45:00,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,,1/29/2022 8:45,"09, 25, 33, 44, 50, 23",
Severe Weather/Transmission Interruption,2/3/2022,10:00:00,Tennessee,Shelby County;,2/3/2022 10:00,47,47157
Severe Weather/Transmission Interruption,2/3/2022,12:56:00,Ohio,,2/3/2022 12:56,39,
Severe Weather/Transmission Interruption,2/4/2022,13:10:00,New York,Ulster County;,2/4/2022 13:10,36,36111
Severe Weather,2/18/2022,7:10:00,Connecticut: Maine: Massachusetts: New Hampshire: Vermont: Rhode Island:,,2/18/2022 7:10,"09, 23, 25, 33, 50, 44",
Severe Weather,3/12/2022,8:33:00,Alabama: Georgia: Mississippi: Florida:,,3/12/2022 8:33,"01, 13, 28, 12",
Severe Weather,3/21/2022,19:00:00,Texas,"Anderson County, Bell County, Bosque County, Comanche County, Coryell County, Falls County, Freestone County, Hamilton County, Henderson County, Hill County, Lampasas County, Leon County, Limestone County, McLennan County, Milam County, Mills County, Robertson County, Collin County, Cooke County, Dallas County, Denton County, Ellis County, Erath County, Fannin County, Grayson County, Hood County, Hunt County, Johnson County, Kaufman County, Navarro County, Parker County, Rains County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wise County;",3/21/2022 19:00,48,"48001, 48027, 48035, 48093, 48099, 48145, 48161, 48193, 48213, 48217, 48281, 48289, 48293, 48309, 48331, 48333, 48395, 48085, 48097, 48113, 48121, 48139, 48143, 48147, 48181, 48221, 48231, 48251, 48257, 48349, 48367, 48379, 48397, 48425, 48439, 48467, 48497"
Severe Weather,3/30/2022,15:45:00,Louisiana: Mississippi: Arkansas:,,3/30/2022 15:45,"22, 28, 05",
Severe Weather,3/31/2022,0:04:00,Georgia: Alabama: Mississippi: Florida:,,3/31/2022 0:04,"13, 01, 28, 12",
Severe Weather,4/11/2022,9:15:00,Oregon,"Multnomah County, Clackamas County, Marion County, Yamhill County, Washington County;",4/11/2022 9:15,41,"41051, 41005, 41047, 41071, 41067"
Severe Weather,4/19/2022,4:07:00,New York,"Broome County, Chemung County, Chenango County, Clinton County, Columbia County, Cortland County, Delaware County, Dutchess County, Erie County, Essex County, Greene County, Hamilton County, Herkimer County, Madison County, Oneida County, Otsego County, Putnam County, Saratoga County, Schoharie County, Schuyler County, Steuben County, Sullivan County, Tioga County, Tompkins County, Ulster County, Westchester County;",4/19/2022 4:07,36,"36007, 36015, 36017, 36019, 36021, 36023, 36025, 36027, 36029, 36031, 36039, 36041, 36043, 36053, 36065, 36077, 36079, 36091, 36095, 36097, 36101, 36105, 36107, 36109, 36111, 36119"
Severe Weather,4/22/2022,23:00:00,North Dakota,,4/22/2022 23:00,38,
Severe Weather,4/22/2022,23:16:00,North Dakota: Montana: ,"Wibaux County, Richland County",4/22/2022 23:16,"38, 30","38077, 30109, 30083"
Severe Weather,4/23/2022,15:38:00,North Dakota,"Mountrail County, Williams County;",4/23/2022 15:38,38,"38061, 38105"
Severe Weather,4/23/2022,19:42:00,Iowa,Illinois:,4/23/2022 19:42,19,
Severe Weather,5/22/2022,2:30:00,Texas,Harris County;,5/22/2022 2:30,48,48201
Severe Weather,6/8/2022,0:00:00,Kansas: Missouri: Nebraska:,,6/8/2022 0:00,"20, 29, 31",
