,Unnamed: 0.1,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
0,0,1,Ice Storm,1/30/2002,6:00:00,Oklahoma,,,
1,1,3,Ice Storm,1/29/2002,,,Kansas City,,1
2,2,4,Ice Storm,1/30/2002,16:00:00,Missouri,,,
3,3,8,Severe Weather,3/9/2002,0:00:00,Michigan,,,1
4,4,15,Fire,7/20/2002,12:40:00,New York,,,
5,5,20,Severe Weather,8/28/2002,14:09:00,Florida,,,
6,6,22,Hurricane Lily,10/3/2002,3:33:00,Louisiana,,,1
7,7,24,Winter Storm,11/6/2002,22:00:00,California,,,1
8,8,27,Ice Storm,11/17/2002,6:00:00,Connecticut,,,1
9,9,29,Ice Storm,12/3/2002,18:30:00,Arkansas,,,
10,10,30,Winter Storm,12/11/2002,13:09:00,Virginia,Fredericksburg,,1
11,11,32,Winter Storm,12/14/2002,11:00:00,California,,,
12,12,33,Winter Storm,12/19/2002,6:00:00,California,,,
13,13,34,Winter Storm,12/25/2002,17:00:00,Pennsylvania,,,
14,14,35,Winter Storm,12/25/2002,10:00:00,Pennsylvania,"Reading, York, Hanover, Hamburg",,
15,15,43,Winter Ice Storm,2/27/2003,,North Carolina,Piedmont,,1
16,16,47,Ice Storm,4/3/2003,,Michigan,,,1
17,17,48,Severe Storm ,4/4/2003,,New York,,,
18,18,59,Severe Thunderstorms,5/2/2003,,North Carolina,Piedmont,,1
19,19,62,Severe Thunderstorms,5/2/2003,,Georgia,,,
20,20,66,Flood,5/15/2003,,Michigan,,,1
21,21,79,Severe Thunderstorms,7/4/2003,,Wisconsin,,,1
22,22,80,Severe Thunderstorms,7/4/2003,,Michigan,,,1
23,23,81,Severe Storms,7/4/2003,,"Indiana, Ohio",,,1
24,24,82,Severe Storms,7/5/2003,,Illinois,,,1
25,25,83,Severe Thunderstorms,7/7/2003,,Illinois,,,1
26,26,84,Severe Thunderstorms,7/8/2003,,Ohio,,,
27,27,85,Severe Thunderstorms,7/9/2003,,Virginia,,,1
28,28,87,Severe Storms,7/21/2003,,Pennsylvania,,,
29,29,111,Severe Thunderstorms,8/26/2003,,Maryland,,"Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",
30,30,112,Severe Thunderstorms,8/26/2003,,Maryland,,"Washington, D.C.,  Montgomery County,  Prince Georges County,",
31,31,115,Hurricane Isabel,9/18/2003,,"Virginia, North Carolina",,,1
32,32,116,Hurricane Isabel,9/18/2003,,North Carolina,,,1
33,33,117,Hurricane Isabel,9/18/2003,,Maryland,,"Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County",
34,34,118,Hurricane Isabel,9/18/2003,,"Pennsylvania, Maryland, Virginia",,,
35,35,119,Hurricane Isabel,9/18/2003,,North Carolina,,"Triangle, Tridad ",
36,36,126,Hurricane Isabel,9/18/2003,,Maryland,,"Montgomery County, Prince George's County ",
37,37,127,Hurricane Isabel,9/18/2003,,All PPL includingDIRTY,,"Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",1
38,38,129,Wild Fire,10/26/2003,,California,,San Diego County,
39,39,131,Tornado,11/5/2003,,"Maryland, Virginia",,,1
40,40,132,Wind Storm,11/12/2003,,Michigan,,,1
41,41,133,High Winds,11/12/2003,,Illinois,,,1
42,42,135,High Winds,11/13/2003,,Maryland,,"Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County, Howard County",
43,43,138,Wind Storm,11/13/2003,,Virginia,Richmond,,
44,44,141,High Winds,12/4/2003,,DIRTY,,"King County, Pierce County",1
45,45,147,Earthquake,12/22/2003,,California,,,1
46,46,148,Winter Storm,12/28/2003,,California,,,1
47,47,158,Winter Storm,1/1/2004,,California,,,1
48,48,159,Snow Storm,1/7/2004,,King CountyDIRTY,,,1
49,49,162,Ice Storm,1/26/2004,,South Carolina,,,1
50,50,163,Ice Storm,1/26/2004,,Georgia,,,
51,51,164,Ice Storm,1/26/2004,,"South Carolina, North Carolina",,,1
52,52,165,Ice Storm,1/28/2004,,Maryland,,Harford County,
53,53,167,Ice Storm,2/5/2004,,"Pennsylvania, Maryland, Virginia",,,
54,54,170,Winter Storm,2/25/2004,,California,,,1
55,55,171,Severe Storm,2/26/2004,,Georgia,,,
56,56,174,Severe Storm,3/7/2004,,"South Carolina, North Carolina",,,
57,57,178,Thunderstorms,4/10/2004,,Texas,Houston,,
58,58,180,Strong Winds,4/27/2004,,Washington,,Snohomish County ,
59,59,182,Heat Storm,5/3/2004,,California,,,1
60,60,184,Severe Thunderstorms,5/21/2004,,Ohio,"Akron, Youngstown",,
61,61,185,Severe Thunderstorms,5/21/2004,,Ohio,Cleveland,,
62,62,194,Severe Thunderstorms,5/21/2004,,Michigan,,"Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers",
63,63,195,Severe Thunderstorms,5/21/2004,,Michigan,"Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",,
64,64,196,Severe Thunderstorms,5/21/2004,,Michigan,,,1
65,65,204,Tornado,6/12/2004,,Nebraska,Lincoln,,
66,66,207,Thunderstorms,6/23/2004,,"Georgia, Alabama",,,
67,67,211,Severe Thunderstorms,7/7/2004,,Virginia,,,1
68,68,213,Severe Thunderstorms,7/13/2004,,Indiana,,,1
69,69,215,Wildfire,7/20/2004,,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and MayaguezDIRTY",,,1
70,70,216,Severe Thunderstorms,7/21/2004,,Illinois,Chicago,,
71,71,218,Severe Storms,7/25/2004,,"Georgia, Alabama",,,
72,72,221,Severe Storm,8/3/2004,,Illinois,,,1
73,73,247,Hurricane Jeanne,9/15/2004,,Puerto RicoDIRTY,,,1
74,74,248,Hurricane Ivan,9/15/2004,,"Mississippi, Georgia, Alabama, Florida",,,
75,75,249,Hurricane Ivan,9/16/2004,,Alabama,,"Baldwin County, Alabama, Escambia County, Florida, Washington County",
76,76,250,Hurricane Ivan,9/16/2004,,South Carolina,,,1
77,77,251,Hurricane Ivan,9/17/2004,,North Carolina,,,1
78,78,252,Hurricane Jeanne,9/25/2004,,Florida,Fort Pierce,,
79,79,253,Hurricane Jeanne,9/26/2004,,Florida,,"Hillsborough, Pasco, Polk County",
80,80,254,Hurricane Jeanne,9/26/2004,,Florida,"Orlando, St. Cloud, ",,
81,81,260,Hurricane Jeanne,9/26/2004,,Florida,,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",
82,82,261,Hurricane Jeanne,9/27/2004,,Georgia,,,
83,83,276,High Winds,12/1/2004,,Maryland,Baltimore City,"Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County",
84,84,292,Winter Storm,1/4/2005,,Kansas,,,1
85,85,293,Ice Storm,1/5/2005,,Ohio,"Akron, Mansfield",,
86,86,294,Winter Ice Storm,1/5/2005,,"Michigan, Indiana",,,1
87,87,295,Winter Storm,1/7/2005,,California,,,1
88,88,300,Ice Storm,1/29/2005,,"Georgia, Alabama",,,1
89,89,301,Ice Storm,1/29/2005,,Georgia,,,
90,90,309,Wind Storms,3/8/2005,,North Carolina,,,1
91,91,311,Winter Storm,4/1/2005,,Ohio,"Cleveland,",,
92,92,314,Winter Storm,4/23/2005,,Ohio,"Cleveland,",,
93,93,315,Thunderstorms,4/30/2005,,"Georgia, Alabama",,,
94,94,341,Hurricane Dennis,7/10/2005,,"Mississippi, Georgia, Alabama, Florida",,,
95,95,342,Hurricane Dennis,7/10/2005,,"Alabama, Florida",,,1
96,96,345,Severe Thunderstorms,7/23/2005,,Maryland,,"Montgomery, Prince Georges ",
97,97,346,Severe Thunderstorms,7/27/2005,,Pennsylvania,,"Bucks, Chester, Delaware, Montgomery, Philadelphia County ",
98,98,347,Severe Thunderstorm,7/27/2005,,Maryland,,"Montgomery, Prince Georges ",
99,99,348,Severe Thunderstorms,7/27/2005,,Maryland,,"Baltimore County, Anne Arundel County, Prince Georges County ",
100,100,349,Severe Thunderstorm,7/28/2005,,North Carolina,Piedmont,,
101,101,359,Severe Thunderstorms,8/20/2005,,Arkansas,,,1
102,102,372,Severe Storm,9/13/2005,,Wisconsin,,,1
103,103,375,Severe Thunderstorm,9/22/2005,,Michigan,,,1
104,104,385,Hurricane Rita,9/23/2005,,Louisiana,,,1
105,105,386,Hurricane Rita,9/23/2005,,Texas,Houston,,
106,106,387,Hurricane Rita,9/23/2005,,"Mississippi, Texas, Arkansas, Louisiana",,,
107,107,388,Hurricane Rita,9/24/2005,,Texas,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",,
108,108,389,Hurricane Rita,9/24/2005,,Louisiana,Shreveport,,
109,109,394,Hurricane Wilma,10/23/2005,,Florida," Naples, Ft. Myers, Miami, Ft. Lauderdale",,"West Palm Beach, Martin County"
110,110,395,Hurricane Wilma,10/24/2005,,Florida,,"Collier, Charlotte, Lee",
111,111,396,Hurricane Wilma ,10/24/2005,,Florida,"Key West, Clewiston, Lake Worth, Ft. Pierce",,
112,112,397,Hurricane Wilma,10/24/2005,,"Pennsylvania, Maryland, Virginia",,,
113,113,400,Severe Thunderstorm,11/6/2005,,Michigan,,,1
114,114,401,Severe Thunderstorms,11/12/2005,,Wisconsin,,,1
115,115,402,Severe Thunderstorm,11/12/2005,,Michigan,,,1
116,116,411,Ice Storm,12/15/2005,,North Carolina,Piedmont,,1
117,117,412,Ice Storm,12/15/2005,,Georgia,,,1
118,118,413,Severe Storms,12/31/2005,,California,,,1
119,119,418,High Winds,1/14/2006,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",
120,120,419,Severe Storm,1/18/2006,,Maine,,,1
121,121,421,Strong Winds,2/4/2006,,Washington,,Snohomish County,
122,122,422,Severe Windstorm,2/4/2006,,Washington,,,1
123,123,427,Severe Snow Storm,2/12/2006,,Virginia,,,1
124,124,430,Severe Weather,2/17/2006,,New York,,,
125,125,432,Severe Winter Storm,2/27/2006,,California,,,1
126,126,434,Severe Weather,3/9/2006,,"Mississippi, Arkansas, Louisiana",,,
127,127,435,Severe Weather,3/12/2006,,Illinois,Springfield,,
128,128,445,Severe Weather,4/21/2006,,Texas,Houston,,
129,129,453,Severe Weather,5/25/2006,,"Kentucky, Indiana, Ohio",,,1
130,130,456,Severe Weather,6/1/2006,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",
131,131,457,Severe Thunderstorms,6/1/2006,,Maryland,,,1
132,132,458,Severe Thunderstorm,6/11/2006,,North Carolina,Charlotte,,
133,133,459,Severe Thunderstorms,6/22/2006,,"Indiana, Ohio",,,
134,134,461,Severe Thunderstorms,7/2/2006,,Virginia,,,1
135,135,462,Severe Thunderstorms,7/4/2006,,Virginia,,,1
136,136,473,Severe Thunderstorms,7/27/2006,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",
137,137,481,Severe Thunderstorms,8/2/2006,,New EnglandDIRTY,,,1
138,138,484,Severe Thunderstorm,8/10/2006,,"Idaho, Oregon",,,1
139,139,493,Severe Thunderstorms,9/28/2006,,"Virginia, North Carolina",,,1
140,140,495,Severe Thunderstorms,10/2/2006,,Illinois,Chicago,,
141,141,498,Snow Storm,10/12/2006,,New York,,,1
142,142,499,Snow Storm,10/12/2006,,New York,,,1
143,143,500,Earthquakes,10/15/2006,,Hawaii,Maui,,
144,144,501,Earthquakes,10/15/2006,,IslandDIRTY,Oahu,,
145,145,502,High Winds,10/20/2006,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",
146,146,505,High Winds,11/15/2006,,Texas,Houston,,
147,147,506,High Winds,11/15/2006,,Washington,,"Whatcom, Skagit Counties",
148,148,509,Severe Weather,11/15/2006,,Georgia,,,
149,149,511,Ice Storm,11/30/2006,,"Illinois, Missouri",,,
150,150,513,Wind Storm,12/1/2006,,Ohio,,,
151,151,515,Wind Storm,12/13/2006,,Washington,,,1
152,152,516,Wind Storm,12/14/2006,,Washington,Seattle,,
153,153,517,Wind Storm,12/14/2006,,Washington,,Snohomish County,
154,154,518,Wind Storm,12/14/2006,,"Idaho, Montana, Oregon, Washington",,,
155,155,519,HIgh Winds,12/14/2006,,Oregon,,,1
156,156,520,High Winds,12/14/2006,,Washington,Tacoma ,South Pierce County,
157,157,521,High Winds,12/14/2006,,Oregon,,"Multnomah, Clackamas, Washington, Marion",
158,158,523,Severe Weather,12/26/2006,,California,,,1
159,159,525,Severe Weather,12/30/2006,,Nebraska,,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte, Seward",
